time	syntax_penn_tok2	syntax_penn_lem2	lexical_tok2	lexical_lem2	cosine_semanticL	partner_direction	condition_info
14	0.0	0.0	0.0	0.0	0.1635162254410618	A>B	phoneDialog315-phoneDialog609-condA
15	0.0	0.0	0.0	0.0	0.27234800430269535	B>A	phoneDialog315-phoneDialog609-condA
16	0.0	0.0	0.0	0.0	0.29154145328881675	A>B	phoneDialog315-phoneDialog609-condA
17	0.0	0.0	0.0	0.0	0.3059420114103871	B>A	phoneDialog315-phoneDialog609-condA
18	0.0	0.0	0.0	0.0	0.28474955902123833	A>B	phoneDialog315-phoneDialog609-condA
19	0.1860521018838127	0.7371541402007414	0.0	0.0	0.27087231522704935	B>A	phoneDialog315-phoneDialog609-condA
20	0.0	0.0	0.0	0.0	0.3361666329132188	A>B	phoneDialog315-phoneDialog609-condA
21	0.0	0.08606629658238703	0.0	0.0	0.3973739852009629	B>A	phoneDialog315-phoneDialog609-condA
22	0.13608276348795434	0.13608276348795434	0.0	0.0	0.497129400669045	A>B	phoneDialog315-phoneDialog609-condA
23	0.09128709291752768	0.09128709291752768	0.0	0.0	0.39194078183632497	B>A	phoneDialog315-phoneDialog609-condA
24	0.0	0.0	0.0	0.0	0.41754211626666904	A>B	phoneDialog315-phoneDialog609-condA
25	0.08838834764831843	0.2651650429449553	0.0	0.0	0.485761922963732	B>A	phoneDialog315-phoneDialog609-condA
26	0.2834733547569204	0.2834733547569204	0.0	0.0	0.49096497944031714	A>B	phoneDialog315-phoneDialog609-condA
27	0.296078262731896	0.15649215928719032	0.0	0.0	0.5323923576445121	B>A	phoneDialog315-phoneDialog609-condA
28	0.21320071635561044	0.11268723396380223	0.0	0.0		A>B	phoneDialog315-phoneDialog609-condA
29	0.2364918849202011	0.2077929087308457	0.0	0.0		B>A	phoneDialog315-phoneDialog609-condA
30	0.5029820614965667	0.6054338830702246	0.01469952580094637	0.01442474408026385	0.504550629515245	A>B	phoneDialog315-phoneDialog609-condA
31	0.13900960937138318	0.1867718419094071	0.0	0.0	0.374692859818869	B>A	phoneDialog315-phoneDialog609-condA
32	0.0	0.0	0.0	0.0	0.36548113077482614	A>B	phoneDialog315-phoneDialog609-condA
33	0.0	0.14433756729740646	0.0	0.0	0.21762530119975487	B>A	phoneDialog315-phoneDialog609-condA
34	0.2785430072655778	0.26111648393354675	0.0	0.0	0.20358904812269452	A>B	phoneDialog315-phoneDialog609-condA
35	0.1403724812687193	0.1315903389919538	0.0	0.0	0.49254366527546267	B>A	phoneDialog315-phoneDialog609-condA
36	0.07715167498104596	0.07715167498104596	0.0	0.0	0.36416978080496487	A>B	phoneDialog315-phoneDialog609-condA
37	0.0	0.11785113019775793	0.0	0.0	0.29293526734302633	B>A	phoneDialog315-phoneDialog609-condA
38	0.0	0.18257418583505536	0.0	0.0	0.1301789005036914	A>B	phoneDialog315-phoneDialog609-condA
39	0.12565617248750865	0.16467739391852365	0.0	0.0	0.3067873240970709	B>A	phoneDialog315-phoneDialog609-condA
40	0.1675415633166782	0.16467739391852365	0.0	0.0	0.48360227752927065	A>B	phoneDialog315-phoneDialog609-condA
41	0.09534625892455924	0.19069251784911848	0.0	0.0	0.473873920911308	B>A	phoneDialog315-phoneDialog609-condA
42	0.2279211529192759	0.27524094128159016	0.0	0.0	0.3924786511709155	A>B	phoneDialog315-phoneDialog609-condA
43	0.16903085094570328	0.3265986323710904	0.0	0.0	0.39860157095948145	B>A	phoneDialog315-phoneDialog609-condA
44	0.0	0.13483997249264842	0.0	0.0	0.24310667969163824	A>B	phoneDialog315-phoneDialog609-condA
0	0.0	0.13608276348795434	0.0	0.0	0.28047335887761493	A>B	phoneDialog1058-phoneDialog1017-condA
